"URL","NOMBRE","DESCRIPCION"
"https://ar.linkedin.com/jobs/view/programador-java-senior-at-zonajobs-1954106444?refId=228db9ad-6faa-4d95-a05b-0cdb789d67d9&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Programador JAVA Senior","Descripción De La OfertaImportante empresa de Logistica y distribuicion se encuentra en la busqueda de Programador JAVA Senior con mas de 3 años de experiencia en pocisiones similares.Formación Requerida Analista Programador ingeniero en sistemas o similarExperiencia Previa y Conocimientos Conocimientos en JAVA SCRIPT ORACLE TOMCAT JSP XML PHP (EXCLUYENTE) Se tendrá en cuenta experiencia en SQL SERVER ASP (NO EXCLUYENTE)Se OfrecenExcelentes condiciones salarialesJornadas Flexibles con posibilidad remotoDesarrollo ProfesionalAgradable y desafiante ambiente laboralMostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/jefe-de-it-at-rh-humans-group-1954562469?refId=228db9ad-6faa-4d95-a05b-0cdb789d67d9&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Jefe de IT","RH Humans Group Seleccionará Para Importante Obra SocialJefe de ITLugar de trabajo: Capital Federal / Edad: Indistinta / Sexo: indistintoExperiencia comprobable como Jefe de IT. (mas de 4 años)Horario de trabajo: L a V de 09 a 18 hs / Nivel de estudios: Ingeniero o Licenciado en Sistemas (graduado o en curso)Contratacion directa con la empresa.Perfil:El Jefe de IT será responsable de coordinar el área de tecnología de la información y comunicación de la empresa.Experiancia comprobable de mas de 4 años en el área de IT.Colaboración y armado en planes y proyectos IT.Gestión de ProyectosRelevar proponer mejorar y dar soporte a los procesos de negociosRedes / Servidores / Linux Windows / Exchange / CloudComunicacion unificada Manejo de mesa de ayuda.El puesto requiere que tenga experiencia en manejo de personal.Reporta al Gte de Sistemas y tendrá 5 personas a cargo.Incorporación inmediata. RH humans Group solo intervendrá en el proceso de selección de personal.Mostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/ios-developer-at-zonajobs-1953997477?refId=228db9ad-6faa-4d95-a05b-0cdb789d67d9&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","iOS Developer","Descripción De La OfertaBuscamos iOS Developer Semisenior y Senior para importante empresa de gran reconocimiento y expansión.Además de Argentina está activa en Brasil Colombia México y República Dominicana. Próximamente también llegará a la India Chile y Perú.¡¡¡Contratación directa con empresa líder de ecommerce!!!Actualmente es 100% remoto desde casa.Pasada la cuarentena será onsite.Lugar de trabajo: Belgrano CABA.Horario: de lunes a viernes de 9:30 a 18:30hsLo Que Se Busca Para El PuestoTener más de dos años de experiencia laboral como Desarrollador iOSFormación: Lic. en Sistemas Ingeniero en Sistemas carreras a fines.Swift (excluyente)GITCocoapodsObjective-CSerá muy valorable:Tener conocimientos de distintos frameworks de Apple.Haber subido una App al StoreTe unirás al equipo de desarrollo mobile de empresa líder y en expansión de ecommerce en toda latinoamérica.Por ejemplo proyectos super motivantes en un ambiente dinámico y flexible con tecnologías nuevas.Beneficios y Datos De La Cultura De La Empresa3 semanas de vacacionesSalario competitivo al mercado.Contratación directa con la empresa clienteOSDE 310Excelente clima laboralFlexibilidad horariaEstructura horizontalDescuento en gimnasio líder y super reconocido.Descuentos exclusivos en almuerzos.Amplias posibilidades de desarrollo profesional.Mostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/programador-java-senior-at-zonajobs-1954106444?refId=15d5d5eb-efcf-423a-b21c-3eac3a6575cc&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Programador JAVA Senior","Descripción De La OfertaImportante empresa de Logistica y distribuicion se encuentra en la busqueda de Programador JAVA Senior con mas de 3 años de experiencia en pocisiones similares.Formación Requerida Analista Programador ingeniero en sistemas o similarExperiencia Previa y Conocimientos Conocimientos en JAVA SCRIPT ORACLE TOMCAT JSP XML PHP (EXCLUYENTE) Se tendrá en cuenta experiencia en SQL SERVER ASP (NO EXCLUYENTE)Se OfrecenExcelentes condiciones salarialesJornadas Flexibles con posibilidad remotoDesarrollo ProfesionalAgradable y desafiante ambiente laboralMostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/jefe-de-it-at-rh-humans-group-1954562469?refId=15d5d5eb-efcf-423a-b21c-3eac3a6575cc&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Jefe de IT","RH Humans Group Seleccionará Para Importante Obra SocialJefe de ITLugar de trabajo: Capital Federal / Edad: Indistinta / Sexo: indistintoExperiencia comprobable como Jefe de IT. (mas de 4 años)Horario de trabajo: L a V de 09 a 18 hs / Nivel de estudios: Ingeniero o Licenciado en Sistemas (graduado o en curso)Contratacion directa con la empresa.Perfil:El Jefe de IT será responsable de coordinar el área de tecnología de la información y comunicación de la empresa.Experiancia comprobable de mas de 4 años en el área de IT.Colaboración y armado en planes y proyectos IT.Gestión de ProyectosRelevar proponer mejorar y dar soporte a los procesos de negociosRedes / Servidores / Linux Windows / Exchange / CloudComunicacion unificada Manejo de mesa de ayuda.El puesto requiere que tenga experiencia en manejo de personal.Reporta al Gte de Sistemas y tendrá 5 personas a cargo.Incorporación inmediata. RH humans Group solo intervendrá en el proceso de selección de personal.Mostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/ios-developer-at-zonajobs-1953997477?refId=15d5d5eb-efcf-423a-b21c-3eac3a6575cc&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","iOS Developer","Descripción De La OfertaBuscamos iOS Developer Semisenior y Senior para importante empresa de gran reconocimiento y expansión.Además de Argentina está activa en Brasil Colombia México y República Dominicana. Próximamente también llegará a la India Chile y Perú.¡¡¡Contratación directa con empresa líder de ecommerce!!!Actualmente es 100% remoto desde casa.Pasada la cuarentena será onsite.Lugar de trabajo: Belgrano CABA.Horario: de lunes a viernes de 9:30 a 18:30hsLo Que Se Busca Para El PuestoTener más de dos años de experiencia laboral como Desarrollador iOSFormación: Lic. en Sistemas Ingeniero en Sistemas carreras a fines.Swift (excluyente)GITCocoapodsObjective-CSerá muy valorable:Tener conocimientos de distintos frameworks de Apple.Haber subido una App al StoreTe unirás al equipo de desarrollo mobile de empresa líder y en expansión de ecommerce en toda latinoamérica.Por ejemplo proyectos super motivantes en un ambiente dinámico y flexible con tecnologías nuevas.Beneficios y Datos De La Cultura De La Empresa3 semanas de vacacionesSalario competitivo al mercado.Contratación directa con la empresa clienteOSDE 310Excelente clima laboralFlexibilidad horariaEstructura horizontalDescuento en gimnasio líder y super reconocido.Descuentos exclusivos en almuerzos.Amplias posibilidades de desarrollo profesional.Mostrar másMostrar menos"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-ingenieroanalista-de-sistemas-estudiante-avanzado-o-graduado-en-cordoba-BE9D1A79DF4AADE061373E686DCF3405","Ingeniero/Analista de Sistemas - Estudiante avanzado o graduado","Nos encontramos en la búsqueda de un Ingeniero o Analista de Sistemas con experiencia comprobable en la gestión de proyectos de desarrollo y mantenimiento de software.Requisitos:- Experiencia en la industria e-commerce (Excluyente - preferentemente, Vtex, Magento)- Conocimiento de metodologías ágiles de desarrollo.- Excepcionales habilidades de comunicación.- Dominio de idioma inglés.- Pensamiento crítico y habilidad para resolver problemas.- Universitario en alguna carrera de sistemas (puede ser estudiante no graduado).- Conocimientos: PHP con experiencia en frameworks - Javascript- Cloud (AWS, Azure, Google cloud).- Dominio de patrones de diseño- Metodologías de desarrollo: AvanzadoIncorporación inmediata y excelentes condiciones de contratación."
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-ingenierosupervisor-en-sistema-de-control-salta-en-salta-E1C1C06BAAD2B3BD61373E686DCF3405","Ingeniero/Supervisor en Sistema de Control - Salta","Empresa de Ingeniería y servicios industriales, se encuentra en la búsqueda de ingenieros Electrónicos para cubrir la posición de Supervisor en Sistemas de Control, para desarrollo de actividades en Salta (puna salteña).Las actividades se realizaran sobre la ampliación/construcción de una planta piloto de Carbonato de litio..Entre las tareas mas relevantes destacamos en recorrido por las operaciones de la planta e inspección de:- Planta de demostración PLC y sistema SCADA- Sistema ADY Plant PLC y SCADA- Sistema de bombeo de salmuera- Sistemas de comunicacionesRevisión de las P&amp;ID de planta piloto  y desarrollo del alcance del trabajo para la programación de PLC y SCADA.Requisitos para aplicar al puesto•	3 a 5 años de experiencia en actividad minera y/o salares.•	Conocimiento de idioma Ingles nivel avanzado (requisito excluyente).Se ofrecen excelentes condiciones de contratación, posición efectiva, comedor en planta, medicina prepaga y excelente clima laboral.Serán priorizados para la posición los perfiles locales (salta/jujuy)Los interesados enviar CV indicando remuneración pretendida (excluyente)."
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-electronicosistemaprogramacion-en-avellaneda-361950F192CF281661373E686DCF3405","Ingeniero electrónico/sistema/programación","Conocimientos sobre sistemas qt y linux.Desarrollo de aplicaciones ios y android.Desarrollo y gestión de software.Conocimientos en diseño de esquemáticoBuenas relaciones interpersonales.Trabajo en equipo.Inglés básico (no excluyente)."
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-sistema-de-control-sr-manejo-plc-scada-en-cordoba-ECEBB92BAD18923F","Ingeniero de Sistema de Control SR - Manejo PLC / SCADA","Importante industria alimenticia se encuentra en la búsqueda de Ingeniero de Sistema de Control SR con experiencia en manejo de PLC / SCADA.Requisitos: + Estudiante o graduado de carreras de Ingeniería, preferentemente electrónica o de sistemas.+ Conocimientos EXCLUYENTES: Programación de PLC/SCADA ; WINCC Server, STEP 7. Manejo equipos SIEMENS.+ Conocimientos deseables: VMWare, Redes Porfibus, Profinet 7, redes Ethernet, Programación TIA Portal V15 3. Programación/administración WinCC V7.0.Será responsable de conducir la realización, instalación y puesta en marcha de todos los dispositivos.Seguimiento de proveedores en la concepción, realización y puesta a punto de dispositivos industriales.Análisis y seguimientos de riesgos proyecto.Se ofrecen excelentes condiciones de contratación.Interesados enviar CV"
